,City Name,Country Code,City Data,City Latitude,City Longitude,City Temperature,City Humidity,City Cloudiness,City Wind Speed
0,Hilo,US,1663213964,19.7297,-155.09,80.33,81,100,5.01
1,Mataura,NZ,1663214157,-46.1927,168.8643,46.47,70,82,13.6
2,Itarema,BR,1663214157,-2.9248,-39.9167,77.41,85,20,15.3
3,Coahuayana Viejo,MX,1663214157,18.7333,-103.6833,76.48,96,100,3.31
4,Ixtapa,MX,1663214158,20.7,-105.2,77.38,92,100,2.64
5,Albany,US,1663213478,42.6001,-73.9662,66.61,88,7,6.26
6,Nuuk,GL,1663214158,64.1835,-51.7216,44.91,86,100,21.79
7,Norman Wells,CA,1663214159,65.282,-126.8329,50.04,76,75,6.91
8,Puerto Ayora,EC,1663214159,-0.7393,-90.3518,64.54,97,38,1.99
9,Ushuaia,AR,1663214159,-54.8,-68.3,47.86,37,20,12.66
10,Caravelas,BR,1663214160,-17.7125,-39.2481,72.5,91,12,9.04
11,Tasiilaq,GL,1663214160,65.6145,-37.6368,35.67,61,100,4.38
12,Port Hedland,AU,1663214160,-20.3167,118.5667,86.05,16,0,13.8
13,Yārāda,IN,1663214161,17.65,83.2667,86.32,79,40,10.36
14,Morondava,MG,1663214161,-20.2833,44.2833,71.08,85,15,9.17
15,Port Hardy,CA,1663214161,50.6996,-127.4199,51.98,93,20,3.44
16,Batagay,RU,1663214162,67.6333,134.6333,42.03,52,76,4.5
17,Aklavik,CA,1663214162,68.2191,-135.0107,42.31,79,100,3.53
18,Lavrentiya,RU,1663214162,65.5833,-171.0,44.85,92,95,13.02
19,Saskylakh,RU,1663214163,71.9167,114.0833,36.48,85,100,12.68
20,Hermanus,ZA,1663214163,-34.4187,19.2345,56.19,78,48,3.15
21,Jamestown,US,1663214059,42.097,-79.2353,61.72,82,100,8.05
22,Nouadhibou,MR,1663214164,20.931,-17.0347,71.58,88,100,17.27
23,Solano,US,1663214164,38.2333,-121.9511,66.52,75,87,11.43
24,Rikitea,PF,1663214164,-23.1203,-134.9692,70.83,73,10,12.15
25,Dhībān,SY,1663214165,35.0365,40.5167,77.11,42,0,8.37
26,Rajshahi,BD,1663214165,24.3667,88.6,78.28,92,99,8.37
27,Cherskiy,RU,1663214165,68.75,161.3,39.24,70,79,12.08
28,Nome,US,1663214165,64.5011,-165.4064,50.16,92,100,9.84
29,São João da Barra,BR,1663214166,-21.6403,-41.0511,68.11,93,53,8.68
30,Qaanaaq,GL,1663214166,77.484,-69.3632,29.3,64,25,8.03
31,Pevek,RU,1663214166,69.7008,170.3133,36.9,83,100,7.56
32,Henties Bay,NA,1663214167,-22.116,14.2845,55.96,94,90,3.94
33,Bisira,PA,1663214167,8.5196,-81.7115,60.39,96,100,2.26
34,Barrow,US,1663214167,71.2906,-156.7887,33.84,98,100,23.51
35,Taitung City,TW,1663214168,22.7583,121.1444,89.87,70,20,6.91
36,Port Blair,IN,1663214168,11.6667,92.75,78.84,89,75,4.61
37,Bluff,NZ,1663214168,-46.6,168.3333,46.8,71,85,30.67
38,Busselton,AU,1663214126,-33.65,115.3333,60.31,67,75,16.49
39,Vaini,TO,1663214169,-21.2,-175.2,80.76,78,40,11.5
40,Bilibino,RU,1663214169,68.0546,166.4372,37.0,77,100,4.45
41,Arraial do Cabo,BR,1663214100,-22.9661,-42.0278,68.07,93,73,8.5
42,Fare,PF,1663214170,-16.7,-151.0167,77.77,75,27,21.68
43,Panjāb,AF,1663214170,34.388,67.0233,59.07,22,0,2.01
44,Hobart,AU,1663214171,-42.8794,147.3294,60.66,55,75,9.22
45,Geraldton,AU,1663214171,-28.7667,114.6,68.41,60,75,10.36
46,Lüderitz,NA,1663214171,-26.6481,15.1594,58.98,67,3,5.73
47,Kapaa,US,1663214172,22.0752,-159.319,80.1,74,33,1.99
48,Kavieng,PG,1663214172,-2.5744,150.7967,83.37,70,23,13.4
49,Narsaq,GL,1663214172,60.9167,-46.05,47.84,63,19,5.3
